CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,BIOMEDICINA,Bacharelado,Presencial,4,3,100,14/08/2006,"Ciências, matemática e computação",Biomedicina
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,CIÊNCIAS BIOLÓGICAS,Bacharelado,Presencial,3,3,100,02/08/2007,"Ciências, matemática e computação",Ciências biológicas
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,-,2,80,28/03/1995,"Ciências sociais, negócios e direito",Ciências contábeis
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,DESIGN DE INTERIORES,Tecnológico,Presencial,-,-,100,23/06/2014,Humanidades e artes,Design de interiores
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,DIREITO,Bacharelado,Presencial,4,-,60,04/09/2018,"Ciências sociais, negócios e direito",Direito
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,EDUCAÇÃO FÍSICA,Bacharelado,Presencial,3,3,100,20/08/2007,Saúde e bem estar social,Educação física
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,ENFERMAGEM,Bacharelado,Presencial,3,3,100,14/08/2006,Saúde e bem estar social,Enfermagem
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,ENGENHARIA AMBIENTAL E ENERGIAS RENOVÁVEIS,Bacharelado,Presencial,-,-,100,27/05/2011,"Engenharia, produção e construção",Engenharia ambiental
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,ENGENHARIA CIVIL,Bacharelado,Presencial,3,2,100,03/09/2008,"Engenharia, produção e construção",Engenharia civil
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,ENGENHARIA DE PRODUÇÃO,Bacharelado,Presencial,3,1,100,03/09/2008,"Engenharia, produção e construção",Engenharia de produção
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,ENGENHARIA ELÉTRICA,Bacharelado,Presencial,-,-,100,23/06/2014,"Engenharia, produção e construção",Engenharia elétrica
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,ESTÉTICA E COSMÉTICA,Tecnológico,Presencial,3,3,100,16/04/2010,Serviços,Estética e Cosmética
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,FARMÁCIA,Bacharelado,Presencial,-,-,100,27/08/2009,Saúde e bem estar social,Farmácia
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,FISIOTERAPIA,Bacharelado,Presencial,-,-,100,14/08/2006,Saúde e bem estar social,Fisioterapia
